Date,Engine,Benchmark,Operation,Value
2022-01-01,wasm,PolybenchC,bicg,0.007379153202997971
2022-01-02,wasm,PolybenchC,bicg,0.0074211455031388705
2022-01-03,wasm,PolybenchC,bicg,0.007448955317398318
2022-01-04,wasm,PolybenchC,bicg,0.00747531954597662
2022-01-05,wasm,PolybenchC,bicg,0.0075140730325164735
2022-01-06,wasm,PolybenchC,bicg,0.0075397610587706184
2022-01-07,wasm,PolybenchC,bicg,0.0075768958620278095
2022-01-08,wasm,PolybenchC,bicg,0.007601310751750636
2022-01-09,wasm,PolybenchC,bicg,0.007626889302686571
2022-01-10,wasm,PolybenchC,bicg,0.007631911576887884
2022-01-11,wasm,PolybenchC,bicg,0.007653092470755468
2022-01-12,wasm,PolybenchC,bicg,0.0076862552558852855
2022-01-13,wasm,PolybenchC,bicg,0.0077133789398004
2022-01-14,wasm,PolybenchC,bicg,0.007733226543173655
2022-01-15,wasm,PolybenchC,bicg,0.007754986358970452
2022-01-16,wasm,PolybenchC,bicg,0.007775768088263743
2022-01-17,wasm,PolybenchC,bicg,0.00777752758808629
2022-01-18,wasm,PolybenchC,bicg,0.0077938378556841595
2022-01-19,wasm,PolybenchC,bicg,0.007802786341887511
2022-01-20,wasm,PolybenchC,bicg,0.00781772891976636
2022-01-21,wasm,PolybenchC,bicg,0.0078413591236984
2022-01-22,wasm,PolybenchC,bicg,0.00788373060184527
2022-01-23,wasm,PolybenchC,bicg,0.007918433947667542
2022-01-24,wasm,PolybenchC,bicg,0.007957931103813265
2022-01-25,wasm,PolybenchC,bicg,0.008003420072821888
2022-01-26,wasm,PolybenchC,bicg,0.008026258802441183
2022-01-27,wasm,PolybenchC,bicg,0.00805795181462251
2022-01-28,wasm,PolybenchC,bicg,0.008097381231984805
2022-01-29,wasm,PolybenchC,bicg,0.008137394824340085
2022-01-30,wasm,PolybenchC,bicg,0.008147579420010449
2022-01-31,wasm,PolybenchC,bicg,0.00816563492964256
2022-02-01,wasm,PolybenchC,bicg,0.00820520563600311
2022-02-02,wasm,PolybenchC,bicg,0.008250976333481349
2022-02-03,wasm,PolybenchC,bicg,0.00829666688168916
2022-02-04,wasm,PolybenchC,bicg,0.008302949072898554
2022-02-05,wasm,PolybenchC,bicg,0.008311207556552052
2022-02-06,wasm,PolybenchC,bicg,0.008317151503908724
2022-02-07,wasm,PolybenchC,bicg,0.008346802309668788
2022-02-08,wasm,PolybenchC,bicg,0.008382732548093153
2022-02-09,wasm,PolybenchC,bicg,0.008388370728819155
2022-02-10,wasm,PolybenchC,bicg,0.008420141574028156
2022-02-11,wasm,PolybenchC,bicg,0.008419984357485795
2022-02-12,wasm,PolybenchC,bicg,0.008429401805030714
2022-02-13,wasm,PolybenchC,bicg,0.008431030349723423
2022-02-14,wasm,PolybenchC,bicg,0.008464688064501093
2022-02-15,wasm,PolybenchC,bicg,0.008479772449093839
2022-02-16,wasm,PolybenchC,bicg,0.008510594149268882
2022-02-17,wasm,PolybenchC,bicg,0.008547197935970035
2022-02-18,wasm,PolybenchC,bicg,0.008546282557611707
2022-02-19,wasm,PolybenchC,bicg,0.008554392150818928
2022-02-20,wasm,PolybenchC,bicg,0.008563542777789021
2022-02-21,wasm,PolybenchC,bicg,0.008578283745763037
2022-02-22,wasm,PolybenchC,bicg,0.008610230327900419
2022-02-23,wasm,PolybenchC,bicg,0.00861089454761525
2022-02-24,wasm,PolybenchC,bicg,0.008644190732701201
2022-02-25,wasm,PolybenchC,bicg,0.008644500813312075
2022-02-26,wasm,PolybenchC,bicg,0.008673251333984312
2022-02-27,wasm,PolybenchC,bicg,0.00871060091868999
2022-02-28,wasm,PolybenchC,bicg,0.00875372323784287
2022-03-01,wasm,PolybenchC,bicg,0.00879290594003921
2022-03-02,wasm,PolybenchC,bicg,0.008810489662466392
2022-03-03,wasm,PolybenchC,bicg,0.00883169394937744
2022-03-04,wasm,PolybenchC,bicg,0.008833649281016875
2022-03-05,wasm,PolybenchC,bicg,0.008865824939388907
2022-03-06,wasm,PolybenchC,bicg,0.008905274219821215
2022-03-07,wasm,PolybenchC,bicg,0.008952972293261044
2022-03-08,wasm,PolybenchC,bicg,0.008966991072958997
2022-03-09,wasm,PolybenchC,bicg,0.008973599294700924
2022-03-10,wasm,PolybenchC,bicg,0.0090101514566065
2022-03-11,wasm,PolybenchC,bicg,0.0090579164823202
2022-03-12,wasm,PolybenchC,bicg,0.009066511371106254
2022-03-13,wasm,PolybenchC,bicg,0.00909256330951547
2022-03-14,wasm,PolybenchC,bicg,0.009098906514765165
2022-03-15,wasm,PolybenchC,bicg,0.009129979817126621
2022-03-16,wasm,PolybenchC,bicg,0.009164700641379463
2022-03-17,wasm,PolybenchC,bicg,0.009179939092551916
2022-03-18,wasm,PolybenchC,bicg,0.00918178125949574
2022-03-19,wasm,PolybenchC,bicg,0.009220764320502268
2022-03-20,wasm,PolybenchC,bicg,0.009251613767898707
2022-03-21,wasm,PolybenchC,bicg,0.00928588032956427
2022-03-22,wasm,PolybenchC,bicg,0.009303494651750774
2022-03-23,wasm,PolybenchC,bicg,0.009314395176366444
2022-03-24,wasm,PolybenchC,bicg,0.00933184579687609
2022-03-25,wasm,PolybenchC,bicg,0.009367341369770674
2022-03-26,wasm,PolybenchC,bicg,0.009367966811217992
2022-03-27,wasm,PolybenchC,bicg,0.00939476167536712
2022-03-28,wasm,PolybenchC,bicg,0.009423470623117838
2022-03-29,wasm,PolybenchC,bicg,0.009453271446405119
2022-03-30,wasm,PolybenchC,bicg,0.00950070681554607
2022-03-31,wasm,PolybenchC,bicg,0.009519798763660362
2022-04-01,wasm,PolybenchC,bicg,0.00952212844582737
2022-04-02,wasm,PolybenchC,bicg,0.009568797071992277
2022-04-03,wasm,PolybenchC,bicg,0.009605371124112935
2022-04-04,wasm,PolybenchC,bicg,0.0096248788338231
2022-04-05,wasm,PolybenchC,bicg,0.009671299853747786
2022-04-06,wasm,PolybenchC,bicg,0.009700132960315586
2022-04-07,wasm,PolybenchC,bicg,0.009714186766037759
2022-04-08,wasm,PolybenchC,bicg,0.009760460952930752
2022-04-09,wasm,PolybenchC,bicg,0.009771790246221006
2022-04-10,wasm,PolybenchC,bicg,0.009792717774892015
2022-04-11,wasm,PolybenchC,bicg,0.00984075164511063
2022-04-12,wasm,PolybenchC,bicg,0.009885947090588343
2022-04-13,wasm,PolybenchC,bicg,0.009933984140007289
2022-04-14,wasm,PolybenchC,bicg,0.00995194823230776
2022-04-15,wasm,PolybenchC,bicg,0.009977875995598984
2022-04-16,wasm,PolybenchC,bicg,0.010014993438001725
2022-04-17,wasm,PolybenchC,bicg,0.010051654390707378
2022-04-18,wasm,PolybenchC,bicg,0.01009741498330074
