Date,Engine,Benchmark,Operation,Value,MetricType,Version
2022-01-01,wasm,PolybenchC,bicg,0.007379153202997971,execution_time,VersionABCD
2022-01-02,wasm,PolybenchC,bicg,0.0074211455031388705,execution_time,VersionABCD
2022-01-03,wasm,PolybenchC,bicg,0.007448955317398318,execution_time,VersionABCD
2022-01-04,wasm,PolybenchC,bicg,0.00747531954597662,execution_time,VersionABCD
2022-01-05,wasm,PolybenchC,bicg,0.0075140730325164735,execution_time,VersionABCD
2022-01-06,wasm,PolybenchC,bicg,0.0075397610587706184,execution_time,VersionABCD
2022-01-07,wasm,PolybenchC,bicg,0.0075768958620278095,execution_time,VersionABCD
2022-01-08,wasm,PolybenchC,bicg,0.007601310751750636,execution_time,VersionABCD
2022-01-09,wasm,PolybenchC,bicg,0.007626889302686571,execution_time,VersionABCD
2022-01-10,wasm,PolybenchC,bicg,0.007631911576887884,execution_time,VersionABCD
2022-01-11,wasm,PolybenchC,bicg,0.007653092470755468,execution_time,VersionABCD
2022-01-12,wasm,PolybenchC,bicg,0.0076862552558852855,execution_time,VersionABCD
2022-01-13,wasm,PolybenchC,bicg,0.0077133789398004,execution_time,VersionABCD
2022-01-14,wasm,PolybenchC,bicg,0.007733226543173655,execution_time,VersionABCD
2022-01-15,wasm,PolybenchC,bicg,0.007754986358970452,execution_time,VersionABCD
2022-01-16,wasm,PolybenchC,bicg,0.007775768088263743,execution_time,VersionABCD
2022-01-17,wasm,PolybenchC,bicg,0.00777752758808629,execution_time,VersionABCD
2022-01-18,wasm,PolybenchC,bicg,0.0077938378556841595,execution_time,VersionABCD
2022-01-19,wasm,PolybenchC,bicg,0.007802786341887511,execution_time,VersionABCD
2022-01-20,wasm,PolybenchC,bicg,0.00781772891976636,execution_time,VersionABCD
2022-01-21,wasm,PolybenchC,bicg,0.0078413591236984,execution_time,VersionABCD
2022-01-22,wasm,PolybenchC,bicg,0.00788373060184527,execution_time,VersionABCD
2022-01-23,wasm,PolybenchC,bicg,0.007918433947667542,execution_time,VersionABCD
2022-01-24,wasm,PolybenchC,bicg,0.007957931103813265,execution_time,VersionABCD
2022-01-25,wasm,PolybenchC,bicg,0.008003420072821888,execution_time,VersionABCD
2022-01-26,wasm,PolybenchC,bicg,0.008026258802441183,execution_time,VersionABCD
2022-01-27,wasm,PolybenchC,bicg,0.00805795181462251,execution_time,VersionABCD
2022-01-28,wasm,PolybenchC,bicg,0.008097381231984805,execution_time,VersionABCD
2022-01-29,wasm,PolybenchC,bicg,0.008137394824340085,execution_time,VersionABCD
2022-01-30,wasm,PolybenchC,bicg,0.008147579420010449,execution_time,VersionABCD
2022-01-31,wasm,PolybenchC,bicg,0.00816563492964256,execution_time,VersionABCD
2022-02-01,wasm,PolybenchC,bicg,0.00820520563600311,execution_time,VersionABCD
2022-02-02,wasm,PolybenchC,bicg,0.008250976333481349,execution_time,VersionABCD
2022-02-03,wasm,PolybenchC,bicg,0.00829666688168916,execution_time,VersionABCD
2022-02-04,wasm,PolybenchC,bicg,0.008302949072898554,execution_time,VersionABCD
2022-02-05,wasm,PolybenchC,bicg,0.008311207556552052,execution_time,VersionABCD
2022-02-06,wasm,PolybenchC,bicg,0.008317151503908724,execution_time,VersionABCD
2022-02-07,wasm,PolybenchC,bicg,0.008346802309668788,execution_time,VersionABCD
2022-02-08,wasm,PolybenchC,bicg,0.008382732548093153,execution_time,VersionABCD
2022-02-09,wasm,PolybenchC,bicg,0.008388370728819155,execution_time,VersionABCD
2022-02-10,wasm,PolybenchC,bicg,0.008420141574028156,execution_time,VersionABCD
2022-02-11,wasm,PolybenchC,bicg,0.008419984357485795,execution_time,VersionABCD
2022-02-12,wasm,PolybenchC,bicg,0.008429401805030714,execution_time,VersionABCD
2022-02-13,wasm,PolybenchC,bicg,0.008431030349723423,execution_time,VersionABCD
2022-02-14,wasm,PolybenchC,bicg,0.008464688064501093,execution_time,VersionABCD
2022-02-15,wasm,PolybenchC,bicg,0.008479772449093839,execution_time,VersionABCD
2022-02-16,wasm,PolybenchC,bicg,0.008510594149268882,execution_time,VersionABCD
2022-02-17,wasm,PolybenchC,bicg,0.008547197935970035,execution_time,VersionABCD
2022-02-18,wasm,PolybenchC,bicg,0.008546282557611707,execution_time,VersionABCD
2022-02-19,wasm,PolybenchC,bicg,0.008554392150818928,execution_time,VersionABCD
2022-02-20,wasm,PolybenchC,bicg,0.008563542777789021,execution_time,VersionABCD
2022-02-21,wasm,PolybenchC,bicg,0.008578283745763037,execution_time,VersionABCD
2022-02-22,wasm,PolybenchC,bicg,0.008610230327900419,execution_time,VersionABCD
2022-02-23,wasm,PolybenchC,bicg,0.00861089454761525,execution_time,VersionABCD
2022-02-24,wasm,PolybenchC,bicg,0.008644190732701201,execution_time,VersionABCD
2022-02-25,wasm,PolybenchC,bicg,0.008644500813312075,execution_time,VersionABCD
2022-02-26,wasm,PolybenchC,bicg,0.008673251333984312,execution_time,VersionABCD
2022-02-27,wasm,PolybenchC,bicg,0.00871060091868999,execution_time,VersionABCD
2022-02-28,wasm,PolybenchC,bicg,0.00875372323784287,execution_time,VersionABCD
2022-03-01,wasm,PolybenchC,bicg,0.00879290594003921,execution_time,VersionABCD
2022-03-02,wasm,PolybenchC,bicg,0.008810489662466392,execution_time,VersionABCD
2022-03-03,wasm,PolybenchC,bicg,0.00883169394937744,execution_time,VersionABCD
2022-03-04,wasm,PolybenchC,bicg,0.008833649281016875,execution_time,VersionABCD
2022-03-05,wasm,PolybenchC,bicg,0.008865824939388907,execution_time,VersionABCD
2022-03-06,wasm,PolybenchC,bicg,0.008905274219821215,execution_time,VersionABCD
2022-03-07,wasm,PolybenchC,bicg,0.008952972293261044,execution_time,VersionABCD
2022-03-08,wasm,PolybenchC,bicg,0.008966991072958997,execution_time,VersionABCD
2022-03-09,wasm,PolybenchC,bicg,0.008973599294700924,execution_time,VersionABCD
2022-03-10,wasm,PolybenchC,bicg,0.0090101514566065,execution_time,VersionABCD
2022-03-11,wasm,PolybenchC,bicg,0.0090579164823202,execution_time,VersionABCD
2022-03-12,wasm,PolybenchC,bicg,0.009066511371106254,execution_time,VersionABCD
2022-03-13,wasm,PolybenchC,bicg,0.00909256330951547,execution_time,VersionABCD
2022-03-14,wasm,PolybenchC,bicg,0.009098906514765165,execution_time,VersionABCD
2022-03-15,wasm,PolybenchC,bicg,0.009129979817126621,execution_time,VersionABCD
2022-03-16,wasm,PolybenchC,bicg,0.009164700641379463,execution_time,VersionABCD
2022-03-17,wasm,PolybenchC,bicg,0.009179939092551916,execution_time,VersionABCD
2022-03-18,wasm,PolybenchC,bicg,0.00918178125949574,execution_time,VersionABCD
2022-03-19,wasm,PolybenchC,bicg,0.009220764320502268,execution_time,VersionABCD
2022-03-20,wasm,PolybenchC,bicg,0.009251613767898707,execution_time,VersionABCD
2022-03-21,wasm,PolybenchC,bicg,0.00928588032956427,execution_time,VersionABCD
2022-03-22,wasm,PolybenchC,bicg,0.009303494651750774,execution_time,VersionABCD
2022-03-23,wasm,PolybenchC,bicg,0.009314395176366444,execution_time,VersionABCD
2022-03-24,wasm,PolybenchC,bicg,0.00933184579687609,execution_time,VersionABCD
2022-03-25,wasm,PolybenchC,bicg,0.009367341369770674,execution_time,VersionABCD
